Mbps (Media de bajada),Periodo,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_Conexiones,Banda ancha fija,Dial up,Ingresos (miles de pesos),Año,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab
62.46,Jul-Sept 2022,1395277,6031970,2871541,557110,235230,11091128,11078691,12437,67055930,2022,3,76.64,23.95
58.44,Abr-Jun 2022,1468333,5979214,2723285,556243,231609,10958684,10946248,12436,60335724,2022,2,75.97,23.72
55.11,Ene-Mar 2022,1533240,6073426,2219533,545814,251996,10624009,10611390,12619,55589997,2022,1,73.88,23.05
52.34,Oct-Dic 2021,1657615,5984240,2072236,523107,252596,10489794,10476933,12861,45467887,2021,4,73.18,22.81
48.46,Jul-Sept 2021,1950631,5826257,1566048,492415,250190,10085541,10075184,10357,42999944,2021,3,70.58,21.98
45.63,Abr-Jun 2021,2018587,5641731,1472246,476968,253552,9863084,9852702,10382,38239667,2021,2,69.24,21.55
43.11,Ene-Mar 2021,2175211,5424782,1362976,434548,250455,9647972,9637956,10016,36676371,2021,1,67.95,21.13
42.36,Oct-Dic 2020,2213949,5371824,1311199,421554,253036,9571562,9561546,10016,33539703,2020,4,67.62,21.01
40.67,Jul-Sept 2020,2263889,5259351,1170879,413259,248821,9356199,9346183,10016,31997445,2020,3,66.31,20.59
38.32,Abr-Jun 2020,2295533,5005115,1106725,376667,247016,9031056,9021040,10016,32102476,2020,2,64.21,19.92
37.52,Ene-Mar 2020,2299457,4903674,1047817,352333,209145,8812426,8802435,9991,29946216,2020,1,62.86,19.48
28.26,Oct-Dic 2019,2414575,4883869,941295,340144,213298,8793181,8783053,10128,24169251,2019,4,62.92,19.49
24.18,Jul-Sept 2019,2909805,4800091,852221,338241,264326,9164684,9142891,21793,21652748,2019,3,65.79,20.36
20.33,Abr-Jun 2019,2990457,4635575,760794,308027,265328,8960181,8938427,21754,20743118,2019,2,64.53,19.96
17.38,Ene-Mar 2019,3132789,4435439,637099,276419,166389,8648135,8626323,21812,20207414,2019,1,62.48,19.31
15.95,Oct-Dic 2018,3329027,4313831,388013,264299,178485,8473655,8451841,21814,16637687,2018,4,61.42,18.97
15.36,Jul-Sept 2018,3521447,4238171,247366,246181,93870,8347035,8320223,26812,15410981,2018,3,60.69,18.73
13.85,Abr-Jun 2018,3557216,4038141,226285,194267,94535,8110444,8083533,26911,14319467,2018,2,59.16,18.24
13.22,Ene-Mar 2018,3574294,3981129,217460,165300,98870,8037053,8009981,27072,13171459,2018,1,58.82,18.12
12.01,Oct-Dic 2017,3584311,3818157,211425,155775,100554,7870222,7842778,27444,11226127,2017,4,57.78,17.79
8.34,Jul-Sept 2017,3622575,3670221,193964,106443,131740,7724943,7696594,28349,10065998,2017,3,56.9,17.51
7.16,Abr-Jun 2017,3723518,3383434,180777,85813,56122,7429664,7401134,28530,9678647,2017,2,54.9,16.88
6.62,Ene-Mar 2017,3708898,3276251,180146,84813,55746,7305854,7277314,28540,8701201,2017,1,54.16,16.64
6.34,Oct-Dic 2016,3722794,3210602,178070,85119,55088,7251673,7223128,28545,7483980,2016,4,53.94,16.56
5.94,Jul-Sept 2016,3776442,3124855,169898,81455,54300,7206950,7178340,28610,6912442,2016,3,53.73,16.5
5.42,Abr-Jun 2016,3782085,3035272,167788,85452,59482,7130079,7097604,32475,6534241,2016,2,53.34,16.37
5.08,Ene-Mar 2016,3792493,2806359,164371,85370,58763,6907356,6874704,32652,5936845,2016,1,51.85,15.9
4.99,Oct-Dic 2015,3803024,2898226,139187,85726,58668,6984831,6952289,32542,5376899,2015,4,52.63,16.12
4.79,Jul-Sept 2015,3788696,2840203,162663,84530,58976,6935068,6902267,32801,5153739,2015,3,52.46,16.05
4.55,Abr-Jun 2015,3767821,2756294,150839,82077,59157,6816188,6783279,32909,4701791,2015,2,51.76,15.82
4.35,Ene-Mar 2015,3756153,2668248,168188,79098,66045,6737732,6699714,38018,4876385,2015,1,51.36,15.68
4.16,Oct-Dic 2014,3764038,2536219,149682,76984,71573,6598496,6559172,39324,3950441,2014,4,50.5,15.39
3.87,Jul-Sept 2014,3714764,2569868,155494,85096,70049,6595271,6559264,36007,3478638,2014,3,50.67,15.43
3.76,Abr-Jun 2014,3708882,2461670,149363,72405,72148,6464468,6428329,36139,3270816,2014,2,49.86,15.16
3.62,Ene-Mar 2014,3697066,2407330,150323,70749,72930,6398398,6362108,36290,2984054,2014,1,49.55,15.05
