Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total_Conexiones,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Accesos por cada 100 hogares
2022,3,Buenos Aires,4715469,6199,4721668,29985000,27709000,290315,297915000,267044000,124190000,3618689,65821000,78.11
2022,3,Capital Federal,1545534,2145,1547679,517000000,5742000,34371,67829000,51946000,28692000,1253105,105477000,122.28
2022,3,Catamarca,70292,1,70293,71000000,384000000,3107,5389000,5099000,3737000,50298,2208000,65.33
2022,3,Chaco,144141,5,144146,461000000,987000000,16782,18938000,8048999,15828000,79390,3711000,43.86
2022,3,Chubut,164874,904,165778,109000000,1444000,45707,30940000,34682000,15309000,17563,20024000,84.38
2022,3,Córdoba,1038600,68,1038668,99000000,11312000,153324,111615000,70989000,27112000,650344,13873000,88.31
2022,3,Corrientes,144842,4,144846,67000000,3865000,23427,23948000,7776000,21706000,56950,7107000,48.21
2022,3,Entre Ríos,268937,22,268959,107000000,5549000,47210,46855000,18263000,32021000,102195,16759000,63.67
2022,3,Formosa,68537,1,68538,97000000,307000000,23538,19545000,6194000,564000000,17704,589000000,43.76
2022,3,Jujuy,118823,0,118823,58000000,1879000,19135,15254000,36083000,519000000,45895,0,58.91
2022,3,La Pampa,115921,171,116092,68000000,1887000,61540,9653000,11592000,5609000,22731,3012000,96.59
2022,3,La Rioja,86860,4,86864,18000000,689000000,2842,3375000,24219000,5331000,50390,0,80.66
2022,3,Mendoza,288746,777,289523,103000000,2953000,44232,21977000,48201000,17243000,150043,4771000,51.03
2022,3,Misiones,182157,0,182157,51000000,3749000,36628,20758000,12676000,19615000,80330,8350000,51.82
2022,3,Neuquén,162693,468,163161,134000000,991000000,38485,14080000,9200000,6700000,78713,14858000,80.37
2022,3,Río Negro,160010,548,160558,111000000,1221000,32936,17860000,27934000,13629000,42596,24271000,67.98
2022,3,Salta,204536,5,204541,114000000,1490000,32923,71199000,5662000,1000999,85661,6491000,57.76
2022,3,San Juan,103118,281,103399,24000000,2027000,30324,11247000,22157000,6780000,19221,11619000,50.8
2022,3,San Luis,121888,182,122070,60000000,307000000,6563,20813000,12061000,67438000,13,14815000,81.74
2022,3,Santa Cruz,49312,198,49510,52000000,6841000,12342,11313000,11378000,2333000,4604,647000000,43.19
2022,3,Santa Fe,887700,110,887810,468000000,11132000,132709,198588000,70897000,57455000,396352,20209000,78.55
2022,3,Santiago Del Estero,119030,2,119032,178000000,1384000,28357,58982000,16087000,910000000,12342,792000000,47.98
2022,3,Tierra Del Fuego,53584,312,53896,22000000,831000000,12002,14815000,20102000,1752000,1021,3351000,99.51
2022,3,Tucumán,263087,30,263117,39000000,2047000,32571,39018000,25214000,4348000,159600,280000000,61.14
2022,2,Buenos Aires,4660984,6199,4667183,30639000,28323000,295238,307554000,273954000,129869000,3535757,65849000,77.58
2022,2,Capital Federal,1534626,2145,1536771,517000000,5980000,36036,72434000,55372000,31571000,1229254,105607000,121.31
2022,2,Catamarca,67007,1,67008,71000000,413000000,3678,6155000,7165000,3393000,43926,2207000,62.4
2022,2,Chaco,143559,5,143564,461000000,1047000,17603,20109000,8391000,15974000,76271,3708000,43.79
2022,2,Chubut,161901,904,162805,109000000,1444000,45804,31217000,34290000,14526000,15394,20021000,83.19
2022,2,Córdoba,1026367,68,1026435,99000000,11971000,160486,120485000,71923000,28645000,619400,13426000,87.48
2022,2,Corrientes,144993,4,144997,67000000,3937000,24253,24842000,8000999,21719000,55071,7107000,48.35
2022,2,Entre Ríos,269330,22,269352,107000000,5656000,48637,48557000,18512000,32354999,98769,16759000,63.9
2022,2,Formosa,67881,0,67881,97000000,407000000,23834,19706000,6330000,591000000,16326,590000000,43.42
2022,2,Jujuy,115314,0,115314,58000000,1829000,19458,15790000,37786000,549000000,37391,2453000,57.32
2022,2,La Pampa,111356,171,111527,68000000,1887000,62546,9842000,11800000,5247000,17125,3012000,92.98
2022,2,La Rioja,86026,4,86030,18000000,728000000,3179,3890000,23814000,5481000,48920,0,80.14
2022,2,Mendoza,278785,777,279562,103000000,2954000,44961,22557000,64138000,19543000,121366,3940000,49.39
2022,2,Misiones,178813,0,178813,51000000,3808000,37254,21712000,12774000,19757000,75107,8350000,51.0
2022,2,Neuquén,161500,468,161968,134000000,999000000,38826,15066000,9205000,2039000,76982,18717000,80.02
2022,2,Río Negro,159216,548,159764,111000000,1227000,33364,17938000,27168000,13714000,41972,24270000,67.85
2022,2,Salta,203172,5,203177,114000000,1530000,33732,72661000,6012000,1156000,81478,6494000,57.54
2022,2,San Juan,100126,281,100407,24000000,2027000,30385,11276000,24649000,3728000,16701,11617000,49.46
2022,2,San Luis,121559,182,121741,60000000,306000000,6840,21217000,11052000,67438000,13,14815000,81.76
2022,2,Santa Cruz,48987,198,49185,52000000,6841000,12348,11369000,11885000,2454000,3592,644000000,43.15
2022,2,Santa Fe,878749,110,878859,468000000,11757000,138534,204381000,74133000,58114000,373888,17584000,77.9
2022,2,Santiago Del Estero,118042,2,118044,178000000,1401000,29581,59931000,14606000,883000000,10672,792000000,47.7
2022,2,Tierra Del Fuego,53458,312,53770,22000000,831000000,12052,14828000,19968000,1712000,1006,3351000,99.86
2022,2,Tucumán,254497,30,254527,39000000,2195000,34461,43513000,23634000,4863000,145541,281000000,59.31
2022,1,Buenos Aires,4549131,6293,4555424,31591000,30056000,313382,321756000,290127000,161183000,3381049,26280000,76.08
2022,1,Capital Federal,1415378,2163,1417541,527000000,5575000,39918,77390000,61053000,43289000,1188072,1717000,111.8
2022,1,Catamarca,62377,1,62378,71000000,456000000,4386,7009000,8773000,3761000,35715,2207000,58.21
